name,path,caption
DM_V1_054,/art/The_Drawing_Machine/Version_1/054.png,"The Drawing Machine, Version 1 , 054, ATH, 2024."
DM_V1_055,/art/The_Drawing_Machine/Version_1/055.png,"The Drawing Machine, Version 1 , 055, ATH, 2024."
DM_V1_056,/art/The_Drawing_Machine/Version_1/056.png,"The Drawing Machine, Version 1 , 056, ATH, 2024."
DM_V1_057,/art/The_Drawing_Machine/Version_1/057.png,"The Drawing Machine, Version 1 , 057, ATH, 2024."
DM_V1_058,/art/The_Drawing_Machine/Version_1/058.png,"The Drawing Machine, Version 1 , 058, ATH, 2024."
DM_V1_059,/art/The_Drawing_Machine/Version_1/059.png,"The Drawing Machine, Version 1 , 059, ATH, 2024."
DM_V1_060,/art/The_Drawing_Machine/Version_1/060.png,"The Drawing Machine, Version 1 , 060, ATH, 2024."
DM_V1_061,/art/The_Drawing_Machine/Version_1/061.png,"The Drawing Machine, Version 1 , 061, ATH, 2024."
DM_V1_062,/art/The_Drawing_Machine/Version_1/062.png,"The Drawing Machine, Version 1 , 062, ATH, 2024."
DM_V1_063,/art/The_Drawing_Machine/Version_1/063.png,"The Drawing Machine, Version 1 , 063, ATH, 2024."
DM_V1_064,/art/The_Drawing_Machine/Version_1/064.png,"The Drawing Machine, Version 1 , 064, ATH, 2024."
DM_V1_065,/art/The_Drawing_Machine/Version_1/065.png,"The Drawing Machine, Version 1 , 065, ATH, 2024."
DM_V1_066,/art/The_Drawing_Machine/Version_1/066.png,"The Drawing Machine, Version 1 , 066, ATH, 2024."
DM_V1_067,/art/The_Drawing_Machine/Version_1/067.png,"The Drawing Machine, Version 1 , 067, ATH, 2024."
DM_V1_068,/art/The_Drawing_Machine/Version_1/068.png,"The Drawing Machine, Version 1 , 068, ATH, 2024."
DM_V1_069,/art/The_Drawing_Machine/Version_1/069.png,"The Drawing Machine, Version 1 , 069, ATH, 2024."
DM_V1_070,/art/The_Drawing_Machine/Version_1/070.png,"The Drawing Machine, Version 1 , 070, ATH, 2024."
